text,personality
"I enjoy spending time alone reading books and thinking deeply",Introvert
"I prefer quiet environments and avoid large social gatherings",Introvert
"I feel drained after social interactions",Introvert
"I like working independently rather than in groups",Introvert
"I express myself better in writing than speaking",Introvert
"I love meeting new people and making friends easily",Extrovert
"I enjoy parties and social events",Extrovert
"I feel energized when surrounded by people",Extrovert
"I like being the center of attention",Extrovert
"I enjoy teamwork and group discussions",Extrovert
"I often feel anxious and worry about small things",Neurotic
"I get stressed easily in difficult situations",Neurotic
"I overthink a lot and feel emotionally sensitive",Neurotic
"I feel nervous when things go wrong",Neurotic
"I panic under pressure",Neurotic
"I remain calm even in stressful situations",Stable
"I handle pressure very well",Stable
"I stay relaxed during exams and challenges",Stable
"I am emotionally balanced and composed",Stable
"I rarely feel anxious or overwhelmed",Stable
"I like planning things carefully before acting",Conscientious
"I am organized and disciplined in my work",Conscientious
"I complete tasks on time and follow rules",Conscientious
"I focus on goals and long-term planning",Conscientious
"I pay attention to details in my work",Conscientious
"I am open to new ideas and experiences",Open
"I enjoy creative thinking and imagination",Open
"I like learning new skills and concepts",Open
"I appreciate art, music, and creativity",Open
"I enjoy exploring different perspectives",Open
